Nama,Nilai_Akhir,Status
Alice,84.9,Lulus
Bob,65.5,Lulus
Charlie,50.5,Tidak Lulus
Diana,91.4,Lulus
Eve,80.5,Lulus
Fajar,68.0,Lulus
Gita,79.3,Lulus
Hadi,54.5,Tidak Lulus
Indah,92.1,Lulus
Joko,71.4,Lulus
Kiki,87.1,Lulus
Lina,60.0,Lulus
Miko,49.3,Tidak Lulus
Nina,80.8,Lulus
Omar,77.6,Lulus
Putri,95.3,Lulus
Qori,43.8,Tidak Lulus
Rina,71.7,Lulus
Sinta,65.5,Lulus
Tito,83.6,Lulus
Umar,57.9,Tidak Lulus
Vina,88.8,Lulus
Wawan,77.9,Lulus
Xena,53.8,Tidak Lulus
Yuni,79.2,Lulus
Zaki,63.7,Lulus
Ayu,90.2,Lulus
Bimo,47.4,Tidak Lulus
Citra,72.1,Lulus
Deni,92.8,Lulus
